gene,gene_name,gene_type,chr,start,end,strand,length
ENSG00000000003.10,TSPAN6,protein_coding,chrX,99883667,99894988,-,2968
ENSG00000000005.5,TNMD,protein_coding,chrX,99839799,99854882,+,1610
ENSG00000000419.8,DPM1,protein_coding,chr20,49551404,49575092,-,1207
ENSG00000000457.9,SCYL3,protein_coding,chr1,169818772,169863408,-,6876
ENSG00000000460.12,C1orf112,protein_coding,chr1,169631245,169823221,+,6354
ENSG00000000938.8,FGR,protein_coding,chr1,27938575,27961788,-,3474
ENSG00000000971.11,CFH,protein_coding,chr1,196621008,196716634,+,8144
ENSG00000001036.9,FUCA2,protein_coding,chr6,143815948,143832827,-,3119
ENSG00000001084.6,GCLC,protein_coding,chr6,53362139,53481768,-,8463
ENSG00000001167.10,NFYA,protein_coding,chr6,41040684,41067715,+,3811
ENSG00000001460.13,STPG1,protein_coding,chr1,24683489,24743424,-,8514
ENSG00000001461.12,NIPAL3,protein_coding,chr1,24742284,24799466,+,9404
ENSG00000001497.12,LAS1L,protein_coding,chrX,64732462,64754655,-,5589
ENSG00000001561.6,ENPP4,protein_coding,chr6,46097730,46114436,+,4651
ENSG00000001617.7,SEMA3F,protein_coding,chr3,50192478,50226508,+,4826
ENSG00000001626.10,CFTR,protein_coding,chr7,117105838,117356025,+,8099
ENSG00000001629.5,ANKIB1,protein_coding,chr7,91875548,92030698,+,7130
ENSG00000001630.11,CYP51A1,protein_coding,chr7,91741465,91772266,-,4074
ENSG00000001631.10,KRIT1,protein_coding,chr7,91828283,91875480,-,6204
ENSG00000002016.12,RAD52,protein_coding,chr12,1021243,1099219,-,4190
ENSG00000002079.8,MYH16,pseudogene,chr7,98836417,98908753,+,6387
ENSG00000002330.9,BAD,protein_coding,chr11,64037302,64052176,-,1708
ENSG00000002549.8,LAP3,protein_coding,chr4,17578815,17609595,+,3785
ENSG00000002586.13,CD99,protein_coding,chrX,2609220,2659350,+,3284
ENSG00000002587.5,HS3ST1,protein_coding,chr4,11394774,11431389,-,8166
ENSG00000002726.15,AOC1,protein_coding,chr7,150521715,150558592,+,3824
ENSG00000002745.8,WNT16,protein_coding,chr7,120965421,120981158,+,3261
ENSG00000002746.10,HECW1,protein_coding,chr7,43152198,43605600,+,13965
ENSG00000002822.11,MAD1L1,protein_coding,chr7,1855429,2272878,-,6955
ENSG00000002834.13,LASP1,protein_coding,chr17,37026112,37078023,+,7061
ENSG00000002919.10,SNX11,protein_coding,chr17,46180719,46200436,+,3606
ENSG00000002933.3,TMEM176A,protein_coding,chr7,150497491,150502208,+,3479
ENSG00000003056.3,M6PR,protein_coding,chr12,9092959,9102551,-,3777
ENSG00000003096.9,KLHL13,protein_coding,chrX,117031776,117251303,-,6983
ENSG00000003137.4,CYP26B1,protein_coding,chr2,72356367,72375167,-,5015
ENSG00000003147.13,ICA1,protein_coding,chr7,8152814,8302317,-,4891
ENSG00000003249.9,DBNDD1,protein_coding,chr16,90071273,90086536,-,3522
ENSG00000003393.10,ALS2,protein_coding,chr2,202565277,202645912,-,10381
ENSG00000003400.10,CASP10,protein_coding,chr2,202047604,202094129,+,7598
ENSG00000003402.15,CFLAR,protein_coding,chr2,201980827,202041410,+,22528
ENSG00000003436.10,TFPI,protein_coding,chr2,188328957,188430487,-,11714
ENSG00000003509.11,NDUFAF7,protein_coding,chr2,37458774,37480546,+,3651
ENSG00000003756.12,RBM5,protein_coding,chr3,50126341,50156454,+,10368
ENSG00000003987.9,MTMR7,protein_coding,chr8,17155539,17271037,-,5692
ENSG00000003989.12,SLC7A2,protein_coding,chr8,17354597,17428082,+,7905
ENSG00000004059.6,ARF5,protein_coding,chr7,127228399,127231759,+,1871
ENSG00000004139.9,SARM1,protein_coding,chr17,26691378,26728065,+,8132
ENSG00000004142.7,POLDIP2,protein_coding,chr17,26673659,26684545,-,2662
ENSG00000004399.8,PLXND1,protein_coding,chr3,129274018,129325661,-,9738
ENSG00000004455.12,AK2,protein_coding,chr1,33473585,33546597,-,5683
ENSG00000004468.8,CD38,protein_coding,chr4,15779898,15854853,+,6855
ENSG00000004478.5,FKBP4,protein_coding,chr12,2904119,2914576,+,3958
ENSG00000004487.11,KDM1A,protein_coding,chr1,23345941,23410182,+,5447
ENSG00000004534.10,RBM6,protein_coding,chr3,49977440,50137478,+,7300
ENSG00000004660.10,CAMKK1,protein_coding,chr17,3763609,3798185,-,7424
ENSG00000004700.11,RECQL,protein_coding,chr12,21621845,21654603,-,3778
ENSG00000004766.11,CCDC132,protein_coding,chr7,92861653,92988338,+,7359
ENSG00000004776.7,HSPB6,protein_coding,chr19,36245469,36248980,-,1722
ENSG00000004777.14,ARHGAP33,protein_coding,chr19,36265434,36279724,+,5260
ENSG00000004779.5,NDUFAB1,protein_coding,chr16,23592323,23607677,-,1600
ENSG00000004799.7,PDK4,protein_coding,chr7,95212811,95225803,-,4519
ENSG00000004809.9,SLC22A16,protein_coding,chr6,110745890,110797844,-,3791
ENSG00000004838.9,ZMYND10,protein_coding,chr3,50378541,50384283,-,4009
ENSG00000004846.12,ABCB5,protein_coding,chr7,20654830,20816658,+,9257
ENSG00000004848.6,ARX,protein_coding,chrX,25021811,25034065,-,2876
ENSG00000004864.9,SLC25A13,protein_coding,chr7,95749532,95951459,-,3710
ENSG00000004866.14,ST7,protein_coding,chr7,116593292,116870157,+,6742
ENSG00000004897.7,CDC27,protein_coding,chr17,45195069,45266788,-,6824
ENSG00000004939.9,SLC4A1,protein_coding,chr17,42325753,42345509,-,5287
ENSG00000004948.9,CALCR,protein_coding,chr7,93053799,93204042,-,4036
ENSG00000004961.10,HCCS,protein_coding,chrX,11129421,11141198,+,2335
ENSG00000004975.7,DVL2,protein_coding,chr17,7128660,7137864,-,5350
ENSG00000005001.5,PRSS22,protein_coding,chr16,2902728,2908171,-,2387
ENSG00000005007.8,UPF1,protein_coding,chr19,18942747,18979045,+,8600
ENSG00000005020.8,SKAP2,protein_coding,chr7,26706681,27034858,-,5520
ENSG00000005022.5,SLC25A5,protein_coding,chrX,118602363,118605282,+,1500
ENSG00000005059.11,CCDC109B,protein_coding,chr4,110481361,110609874,+,3558
ENSG00000005073.5,HOXA11,protein_coding,chr7,27221129,27224842,-,2307
ENSG00000005075.11,POLR2J,protein_coding,chr7,102113565,102119354,-,962
ENSG00000005100.8,DHX33,protein_coding,chr17,5344232,5372380,-,5872
ENSG00000005102.8,MEOX1,protein_coding,chr17,41717756,41739322,-,2707
ENSG00000005108.11,THSD7A,protein_coding,chr7,11409984,11871824,-,10923
ENSG00000005156.7,LIG3,protein_coding,chr17,33307513,33332083,+,8240
ENSG00000005175.5,RPAP3,protein_coding,chr12,48057070,48099844,-,3343
ENSG00000005187.7,ACSM3,protein_coding,chr16,20621565,20808903,+,5095
ENSG00000005189.15,AC004381.6,protein_coding,chr16,20817751,20860987,+,4111
ENSG00000005194.10,CIAPIN1,protein_coding,chr16,57462081,57481440,-,3509
ENSG00000005206.12,SPPL2B,processed_transcript,chr19,2328614,2355099,+,7096
ENSG00000005238.15,FAM214B,protein_coding,chr9,35104109,35116338,-,6409
ENSG00000005243.5,COPZ2,protein_coding,chr17,46103533,46115392,-,1847
ENSG00000005249.8,PRKAR2B,protein_coding,chr7,106685094,106802256,+,4318
ENSG00000005302.13,MSL3,protein_coding,chrX,11776278,11793870,+,6494
ENSG00000005339.8,CREBBP,protein_coding,chr16,3775055,3930727,-,15068
ENSG00000005379.11,BZRAP1,protein_coding,chr17,56378592,56406152,-,11382
ENSG00000005381.6,MPO,protein_coding,chr17,56347217,56358296,-,3622
ENSG00000005421.4,PON1,protein_coding,chr7,94926988,95025673,-,2988
ENSG00000005436.9,GCFC2,protein_coding,chr2,75879126,75938115,-,5465
ENSG00000005448.12,WDR54,protein_coding,chr2,74648805,74652882,+,2860
ENSG00000005469.7,CROT,protein_coding,chr7,86974997,87029111,+,4979
ENSG00000005471.11,ABCB4,protein_coding,chr7,87031013,87109751,-,7494
ENSG00000005483.15,KMT2E,protein_coding,chr7,104654626,104754808,+,9227
ENSG00000005486.12,RHBDD2,protein_coding,chr7,75471920,75518244,+,2441
ENSG00000005513.9,SOX8,protein_coding,chr16,1031808,1036979,+,4432
ENSG00000005700.10,IBTK,protein_coding,chr6,82879700,82957471,-,8722
ENSG00000005801.12,ZNF195,protein_coding,chr11,3360491,3400448,-,5705
ENSG00000005810.13,MYCBP2,protein_coding,chr13,77618792,77901185,-,15943
ENSG00000005812.6,FBXL3,protein_coding,chr13,77566740,77601330,-,4651
ENSG00000005844.13,ITGAL,protein_coding,chr16,30483979,30534506,+,6472
ENSG00000005882.7,PDK2,protein_coding,chr17,48172101,48189516,+,5481
ENSG00000005884.13,ITGA3,protein_coding,chr17,48133332,48167845,+,9802
ENSG00000005889.11,ZFX,protein_coding,chrX,24167290,24234372,+,9037
ENSG00000005893.11,LAMP2,protein_coding,chrX,119561682,119603220,-,5617
ENSG00000005955.8,GGNBP2,protein_coding,chr17,34900737,34946278,+,9729
ENSG00000005961.13,ITGA2B,protein_coding,chr17,42449548,42466873,-,5551
ENSG00000005981.8,ASB4,protein_coding,chr7,95107756,95169544,+,4605
ENSG00000006007.7,GDE1,protein_coding,chr16,19513015,19533467,-,4412
ENSG00000006015.13,C19orf60,protein_coding,chr19,18699495,18703146,+,3370
ENSG00000006016.6,CRLF1,protein_coding,chr19,18683030,18718551,-,3018
ENSG00000006025.7,OSBPL7,protein_coding,chr17,45884738,45899200,-,6572
ENSG00000006042.7,TMEM98,protein_coding,chr17,31254928,31272124,+,5187
ENSG00000006047.8,YBX2,protein_coding,chr17,7191571,7197934,-,4618
ENSG00000006059.3,KRT33A,protein_coding,chr17,39502344,39507064,-,1287
ENSG00000006062.9,MAP3K14,processed_transcript,chr17,43340488,43394414,-,5132
ENSG00000006071.7,ABCC8,protein_coding,chr11,17414432,17498449,-,6835
ENSG00000006074.4,CCL18,protein_coding,chr17,34391640,34399392,+,1397
ENSG00000006075.11,CCL3,protein_coding,chr17,34415602,34417515,-,1494
ENSG00000006114.11,SYNRG,protein_coding,chr17,35874900,35969544,-,14277
ENSG00000006116.3,CACNG3,protein_coding,chr16,24266874,24374122,+,3088
ENSG00000006118.10,TMEM132A,protein_coding,chr11,60691935,60704631,+,7271
ENSG00000006125.12,AP2B1,protein_coding,chr17,33905065,34053436,+,7797
ENSG00000006128.7,TAC1,protein_coding,chr7,97361220,97369784,+,1888
ENSG00000006194.6,ZNF263,protein_coding,chr16,3313743,3351401,+,9329
ENSG00000006210.6,CX3CL1,protein_coding,chr16,57406370,57418960,+,5983
ENSG00000006282.15,SPATA20,protein_coding,chr17,48620419,48633213,+,5237
